ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2595],"27    Sol 4
Name: S",0.316,2    5/25/23,99.9,76.2,22500,4120,9938,5.82E-09,20,6,FCT,20,0.2,76.05518873,3323,1994,3307,3.77443609,2002,3187,1185,0.060686131,,
[2594],"27    Sol 12
Name: S",0.106,2    5/25/23,89.4,37.2,22500,4100,8167,4.07E-09,20,6,FCT,20,0.2,37.16462537,3219,2299,3291,5.703759398,2311,3431,1120,0.058596738,,
[2593],"27    Sol 8
Name: S",0.0284,2    5/25/23,99.9,78.2,22500,4100,9996,5.90E-09,20,6,FCT,20,0.2,78.10815227,3147,2394,3362,11.95864662,2430,4031,1601,0.048934706,,
[2592],"27    Sol 9
Name: S",0.018,2    5/25/23,94.1,38.6,22500,4100,8242,4.14E-09,20,6,FCT,20,0.2,38.54797811,3166,2666,3346,16.00676692,2715,4095,1380,0.055752136,,
[2589],"27    Vat 2
Name: S",0.425,2    5/24/23,99.9,60.9,27780,2180,7382,5.20E-09,20,6,FCT,20,0.2,60.80259434,3487,1942,3358,3.376691729,1955,3151,1196,0.050846607,,
[2588],"27    Sol 7
Name: S",0.437,2    5/24/23,99.9,62.1,27780,1330,7434,6.10E-09,20,6,FCT,20,0.2,83.71638458,3486,1938,3338,3.388721805,1951,3147,1196,0.059414478,,
[2587],"27    Sol 6
Name: S",0.414,2    5/24/23,99.9,57.2,27780,1330,7224,5.89E-09,20,6,FCT,20,0.2,78.05517065,3486,1947,3335,3.37518797,1954,3162,1208,0.056380117,,
[2586],"27    Sol 2
Name: S",0.1568,2    5/24/23,99.9,71.2,27780,1365,7525,6.16E-09,20,6,FCT,20,0.2,85.25951128,3459,2150,3263,6.680451128,2190,3415,1225,0.071183163,,
[2585],"27    Sol 1
Name: S",0.0802,2    5/24/23,99.9,73.5,27780,1384,7534,6.15E-09,20,6,FCT,20,0.2,84.98291937,3479,2282,3275,9.256390977,2334,3631,1297,0.071871168,,
[2584],"27    Vat 1
Name: S",0.0511,2    5/24/23,99.9,73.9,27780,1780,7511,5.73E-09,20,6,FCT,20,0.2,73.79759885,3487,2342,3467,10.87744361,2402,3847,1445,0.057930649,,
